tt,url,title,polls_count,votes_count,last_poll,last_win
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1,0,2022-07-31,
tt9419884,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,1,0,2022-07-31,
